news_type,true,fav,important,anger,anxiety,funny,informative,familiar,demrep_c,concordant,age,gender,education,income,social_conserv,economic_conserv,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
2,3,2,1,1,1,3,1,1,1,5,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
2,1,6,1,1,1,1,1,1,1,1,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
2,4,5,2,3,1,1,1,1,1,2,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
2,1,2,2,1,1,4,1,1,1,5,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
2,6,1,2,6,4,1,1,1,1,6,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
2,1,6,5,1,1,1,2,1,1,1,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
2,1,6,1,1,1,1,1,1,1,1,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
1,1,4,1,1,1,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,5,1,1,1,1,3,1,2,2,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,2,3,5,1,1,1,4,1,2,4,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,4,4,1,1,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,5,2,1,1,2,3,1,2,2,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,4,4,1,1,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,6,5,4,2,1,4,1,2,1,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,2,2,4,3,1,1,3,1,2,5,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
1,1,5,2,1,1,1,2,1,2,2,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
0,2,3,4,4,2,1,4,1,2,4,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
0,1,4,2,2,1,1,3,1,2,3,28.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0
